Blog	want	best	much	life	things	possible	right	old	love	such	didn	open	say	take	going	where	being	around	her	past	company	always	really	also	set	see	let	using	d	us	ago	video	great	next	high	doing	could	should	ve	off	less	work	after	then	them	another	com	post	way	change	live	use	still	year	than	only	these	real	read	early	lot	very	help	actually	since	won	both	look	while	used	game	doesn	go	started	him	need	based	she	well	twitter	home	he	even	ever	never	give	before	better	m	said	three	make	left	down	did	making	may	think	long	show	enough	those	different	same	again	public	free	two	through	good	hard	world	big	bit	back	ll	day	under	every	would	end	over	got	days	top	too	took	full	news	no	today	any	sure	come	week	short	might	part	his	called	find	few	something	our	which	who	why	last	other	know	because	own	made
Lifehack	1	0	0	4	6	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	1	0	0	0	4	0	2	0	0	20	0	3	2	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	2	2	1	0	0	0	0	2	2	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	4	0	0	0	0	0	1	1	2	0	3	0	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	4	2	0	4	1	3	1
Lifehacker	5	3	0	1	2	0	4	1	0	0	0	1	1	0	0	1	0	1	0	1	0	2	0	1	0	1	1	1	0	0	0	2	2	2	0	0	0	2	2	3	1	1	0	2	5	0	0	0	1	1	1	6	1	0	2	1	4	0	25	1	0	3	4	2	0	0	4	1	1	1	2	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	2	0	2	0	1	0	1	3	0	0	0	0	1	1	0	0	0	1	1	0	3	0	2	0	0	2	0	2	2	1	2	1	1	0	0	6	2	1	0	0	1	4	2	0	0	7	0	2	1	0	0	3	1	0	3	4	0	3	1	3	3	0	1	0
Google Operating System	0	7	4	0	1	1	6	1	0	1	0	1	0	0	4	1	0	0	0	1	0	3	1	15	0	9	0	3	1	3	0	0	5	3	5	0	0	2	3	0	4	4	5	6	13	5	3	0	3	2	0	8	4	3	4	12	3	1	1	3	10	2	2	3	2	1	2	1	8	1	5	4	4	3	0	1	3	0	4	1	10	0	2	1	1	2	1	5	1	2	1	6	3	4	3	0	2	2	2	3	2	1	8	5	1	4	1	1	0	3	1	1	1	0	9	9	1	1	2	0	1	0	1	0	2	1	1	3	6	8	5	4	1	1	0	1	0	0	0	3	6	4	3	1	17	3	2	1	15	3	2	5	2
Schneier on Security	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	0	0	0	3	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	3	0	0	0	0	0	1	1	1	1	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	1
Quick Online Tips	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	7	1	4	1	0	1	0	0	0	0	0	0	13	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	10	0	0	1	0	0	0	0	0	0	1	0	2	1	1	0	1	4	0	1	0	0	0	0	0	0
Mashable	6	3	2	3	4	1	3	2	4	2	0	2	0	6	3	0	5	2	5	0	2	1	1	26	0	21	0	0	0	5	2	4	1	2	4	1	3	2	4	1	1	5	7	1	4	0	1	2	5	3	3	0	3	4	5	2	0	0	32	0	0	2	2	1	2	1	1	4	6	2	5	1	5	1	2	3	2	6	2	2	7	8	1	3	4	1	1	0	4	5	2	7	3	1	3	2	2	3	1	3	1	2	0	4	2	1	1	9	5	5	1	17	1	1	6	4	3	5	3	1	2	14	2	1	4	3	1	2	1	9	1	4	2	0	3	1	4	0	18	4	2	3	1	6	8	9	2	2	4	1	2	2	6
WIRED	0	0	0	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	10	2	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TechCrunch	0	0	0	3	4	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	8	0	0	1	0	1	2	1	2	1	1	1	1	0	0	0	2	0	1	2	1	1	2	0	2	1	0	0	1	0	9	0	0	2	2	0	4	0	20	0	3	0	0	0	1	1	2	1	4	0	1	0	2	1	0	0	3	1	2	4	3	1	0	2	1	2	0	1	1	3	6	0	0	2	1	2	0	0	0	1	1	1	0	1	1	1	0	2	2	0	0	2	2	1	2	1	1	2	1	2	1	1	0	0	2	0	0	0	1	0	8	0	0	1	4	1	0	3	0	0	0	1	0	2	2	0	1	2	2	0	1	1	0
Gizmodo	0	4	0	1	0	0	3	1	0	0	0	0	0	0	0	5	1	1	1	0	4	1	0	3	3	1	0	0	0	11	0	2	1	0	0	0	0	1	1	2	0	0	2	0	5	1	2	0	2	0	1	1	1	2	2	2	0	0	25	0	1	0	2	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	6	1	7	0	1	0	0	0	0	1	0	0	4	3	2	0	4	0	0	2	1	0	3	0	1	0	0	0	2	3	1	0	3	0	0	0	0	3	0	1	2	2	4	0	0	2	1	1	1	2	0	3	2	1	2	3	0	1	2	5	0	3	0	0	6	1	2	2	1	0	3	1	1	0
Oilman	1	0	3	1	0	0	0	1	2	0	0	0	0	1	0	0	1	1	0	2	0	0	5	1	1	3	1	1	0	0	1	0	0	0	1	0	1	0	2	1	0	1	0	0	0	0	2	2	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	1	0	2	0	0	2	4	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	0	0	0	1	2	0	1	0	2	0	4	0	0	1	1	2	1	0	0	1	0	2	1	0	1	0	1	0	1	0	0	3	1	0	2	0	1	0
Guy Kawasaki	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	12	0	0	0	1	0	0	2	2	1	3	0	1	0	0	2	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	1	0	3	1	0
Seth Godin's Blog on marketing, tribes and respect	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	2	1	2	1	0	0	4	0	2	0	0
